Error Type,Topic Guid,Message
Simply replace the &lt;string&gt; with your Office Online Server path.
</p> in md file:a5276781-133b-413c-beca-b851e17c2081.md total found:0
Warning,aeba2638-be88-4030-80fe-7e4bcd30309b,Found nested table in md file:aeba2638-be88-4030-80fe-7e4bcd30309b.md
Warning,aeba2638-be88-4030-80fe-7e4bcd30309b,Fixing missing end table tag in file:aeba2638-be88-4030-80fe-7e4bcd30309b.md
Warning,aeba2638-be88-4030-80fe-7e4bcd30309b,Found invalid tables saving file:aeba2638-be88-4030-80fe-7e4bcd30309b.md
Warning,b0385c4e-61fc-4607-a48c-64d8f4e80651,Found nested table in md file:b0385c4e-61fc-4607-a48c-64d8f4e80651.md
Warning,b0385c4e-61fc-4607-a48c-64d8f4e80651,Fixing missing end table tag in file:b0385c4e-61fc-4607-a48c-64d8f4e80651.md
Warning,b0385c4e-61fc-4607-a48c-64d8f4e80651,Found invalid tables saving file:b0385c4e-61fc-4607-a48c-64d8f4e80651.md
Warning,e4d51dc4-6460-437d-aa8e-0ae4d3aa8cc5,Found a an ul list inside a table in html file:e4d51dc4-6460-437d-aa8e-0ae4d3aa8cc5.xml


Warning,9a78496b-50c0-471c-b112-6dbc7231635d,Topic title:configure-excel-online-data-refresh-by-using-embedded-data-connections-in-office-online-server bigger then max length:80 new topic titile name:configure-excel-online-data-refresh-by-using-embedded-data-connections-in-office
Warning,84c08727-b496-48b6-b54b-a366fad151d7,Topic title:configure-server-to-server-authentication-between-office-online-server-and-sharepoint-server-2016 bigger then max length:80 new topic titile name:configure-server-to-server-authentication-between-office-online-server-and-share
Warning,0d33c049-3f9e-42e9-be48-aeecd4ad7b66,Topic title:configure-excel-online-data-refresh-by-using-external-data-connections-in-office-online-server bigger then max length:80 new topic titile name:configure-excel-online-data-refresh-by-using-external-data-connections-in-office
Warning,N/A,Sql Query:use [DDCMS_MOD_O16ITPRO] SELECT tkw.[topicGuid] as topicGuid,kwf.[keyword] as f1Keyword
                                        FROM [TopicKeywordsF] tkw join [dbo].[KeywordsF] kwf on tkw.[kwdGuid] = kwf.[kwdGuid]
                                        join [dbo].[Topics] topics on topics.[topicGuid] = tkw.[topicGuid]
                                        join [dbo].[Projects] pro on pro.[projectGuid] = topics.[homeProjectGuid]
                                        where pro.[projectName] = 'OffWebAppsServItPro' or pro.[projectName]='PowerShell_OffWebApp1' retuned no rows for project:OffWebAppsServItPro server:ocpubcms for database:DDCMS_MOD_O16ITPRO
Warning,N/A,Sql Query:use [DDCMS_MOD_O16ITPRO] SELECT tkw.[topicGuid] as topicGuid,kwf.[keyword] as f1Keyword
                                        FROM [TopicKeywordsF] tkw join [dbo].[KeywordsF] kwf on tkw.[kwdGuid] = kwf.[kwdGuid]
                                        join [dbo].[Topics] topics on topics.[topicGuid] = tkw.[topicGuid]
                                        join [dbo].[Projects] pro on pro.[projectGuid] = topics.[homeProjectGuid]
                                        where pro.[projectName] = 'OffWebAppsServItPro' or pro.[projectName]='PowerShell_OffWebApp1' retuned no rows for project:OffWebAppsServItPro server:ocpubcms for database:DDCMS_MOD_O16ITPRO
